,lift,hand,seq(スレッド数1),seq(スレッド数N)
,69.888,58.048,595.712,840.224
,61.248,57.248,494.368,734.88
,61.184,56.704,493.888,756.736
,62.016,98.048,493.568,727.04
,81.056,56.928,495.616,746.208
,62.592,67.52,494.592,755.2
,61.792,53.344,494.112,757.568
,62.048,58.496,493.568,770.048
,67.328,64.48,493.568,740.352
,64.064,55.36,495.136,770.048
,59.296,59.584,494.592,749.568
,66.656,58.72,494.432,724.992
,60.736,80.032,493.568,748.544
,59.84,53.12,495.168,750.528
,63.808,57.792,494.592,735.232
,64.544,58.624,497.568,756.736
,74.912,56,498.304,840.704
,62.848,61.344,494.592,744.448
,57.184,85.728,494.592,749.152
,100.128,60.384,493.568,729.088
,66.944,60,494.592,726.016
,58.752,56.64,494.56,755.712
,58.368,96.192,493.568,732.16
,61.088,58.336,493.28,719.872
,63.616,80.096,494.592,736.768
,62.528,57.472,494.592,755.648
,56.768,57.792,494.048,728.672
,61.28,56.16,494.592,764.64
,89.504,64.096,493.248,753.664
,67.552,55.072,494.592,765.952
,61.6,58.848,494.592,724.992
,69.568,106.4,494.176,741.376
,61.76,59.52,493.568,732.16
,60.704,57.76,494.08,740.352
,64.224,60.672,494.592,735.744
,123.424,54.496,493.568,762.88
,60.032,73.088,494.496,736.896
,59.84,57.792,493.216,746.496
,90.016,64.064,493.28,737.92
,70.432,56.928,494.592,755.616
,59.2,64.608,507.616,729.088
,60.192,54.304,502.752,761.856
,61.792,62.208,495.584,748.544
,71.584,58.688,495.616,743.392
,62.368,56.224,494.592,736.256
,85.408,51.104,495.136,734.208
,55.808,57.536,495.424,722.944
,69.184,81.824,494.56,726.016
,63.552,52.992,494.432,727.84
,55.776,58.592,495.136,752.64
,59.264,58.528,495.2,719.872
,61.856,57.344,494.592,728.032
,83.296,55.712,494.592,719.84
,63.328,61.984,493.568,752.64
,59.392,57.536,501.76,721.92
,65.504,58.368,494.592,724.544
,61.056,58.208,495.328,748.064
,60.608,100.96,494.592,770.048
,61.728,58.304,494.592,729.088
,58.112,60.352,494.08,767.584
,57.12,61.472,497.6,725.984
,57.472,57.44,494.592,738.912
,63.584,70.496,495.616,720.896
,56.448,52.704,495.488,759.52
,61.344,55.68,496.224,759.552
,57.76,60.928,494.592,746.08
,61.664,62.24,489.472,744.448
,102.368,56.384,494.528,752.288
,57.408,58.688,495.328,732.16
,70.912,53.12,494.592,721.792
,70.336,54.592,494.592,758.784
,60.608,73.408,494.176,720.384
,55.712,60.704,489.472,731.904
,59.648,56.992,499.712,731.136
,61.472,59.424,494.272,881.664
,69.824,54.912,495.424,762.88
,55.232,57.984,496.64,735.008
,69.344,70.912,489.472,736.8
,69.632,60.64,494.368,738.304
,60.608,56.576,494.592,756.736
,62.592,56.224,494.304,729.056
,62.336,61.216,503.808,743.424
,66.24,59.104,495.616,723.968
,67.552,61.152,495.616,729.088
,61.056,54.592,495.2,742.4
,87.776,60.448,494.528,731.072
,63.104,70.304,494.592,791.104
,72.16,58.336,493.568,721.92
,56.672,52.576,494.592,742.4
,58.016,57.376,494.272,738.272
,61.184,58.144,508.928,755.712
,71.424,59.232,509.952,733.728
,66.848,56.416,504.672,729.088
,60.608,53.184,494.112,726.56
,60.96,57.984,494.4,740.352
,60.864,57.248,495.616,734.208
,62.56,59.52,494.592,709.504
,56.544,57.44,494.592,734.784
,77.024,82.624,494.592,745.472
,74.336,59.744,494.304,724.704
平均,65.58528,61.62464,496.3328,744.27296
分散,112.6699503616,105.4653819904,110.1403136,602.8594883584
標準偏差,10.6146102312614,10.2696339754833,10.4947755383333,24.5531971107308
